Noun	theNOUN	theNOUNthat	Conditional	CILower	CIUpper	Group	InMaze
assessment	23348	121	-5.26247606072694	-5.44865831788304	-5.08494221675045	CLAIM	bold
disclosure	4635	69	-4.2072849734027	-4.45668652996238	-3.97375027632164	FACT	bold
story	70322	1161	-4.10380299166741	-4.161712707638	-4.04676174154512	CLAIM	bold
report	55786	1003	-4.01852743287044	-4.08085886383378	-3.95720634336034	CLAIM	bold
complaint	9784	237	-3.72044353623188	-3.85054965519834	-3.59480449608725	ACCUSATION	bold
truth	33311	1144	-3.37135677981207	-3.42919355673694	-3.3144321483032	FACT	bold
declaration	4143	146	-3.34556882036907	-3.5120822173847	-3.18657756465974	CLAIM	bold
admission	3695	141	-3.26597594300413	-3.43532486867784	-3.10446737061913	FACT	bold
guess	274	12	-3.12822145660007	-3.77961265416876	-2.5869139963733	CLAIM	plain
information	144018	6890	-3.03986720673858	-3.06305669280634	-3.01683046431538	CLAIM	plain
evidence	41626	2657	-2.75152730525838	-2.78871070298702	-2.71475455186029	CLAIM	plain
prediction	2073	144	-2.66693881285978	-2.83201978119106	-2.50996148692691	CLAIM	plain
confirmation	1907	140	-2.61164418299111	-2.7788680108258	-2.45282027760108	CLAIM	bold
message	35453	3109	-2.43390674455505	-2.46782461191744	-2.40035436412877	CLAIM	bold
proof	3123	345	-2.20300494025172	-2.30574024584412	-2.10380039988978	FACT	bold
statement	14142	1604	-2.17664858373773	-2.22341141971131	-2.13063011808562	CLAIM	bold
concern	3718	513	-1.98066532311062	-2.06321245470402	-1.90057891177911	CLAIM	plain
indication	566	88	-1.86125726372498	-2.06669300160809	-1.67131147106982	CLAIM	plain
speculation	611	95	-1.86122006757105	-2.05843286662249	-1.67831139123344	CLAIM	plain
announcement	9142	1473	-1.82557804242906	-1.87312766972386	-1.77890332193157	CLAIM	bold
news	32044	5336	-1.79263364973955	-1.81734337937564	-1.76816493992671	CLAIM	bold
thought	11881	2105	-1.73062501834181	-1.76992526747323	-1.69194978713988	CLAIM	plain
remark	631	112	-1.72880699124612	-1.90745741975727	-1.56260704650643	CLAIM	bold
recognition	8527	1701	-1.61202128634619	-1.65523416800409	-1.56960917194269	FACT	plain
perception	5656	1153	-1.59034968730735	-1.64288247945686	-1.53901063897246	CLAIM	plain
claim	17735	3617	-1.58989513525563	-1.61929831558289	-1.56086865305837	CLAIM	plain
understanding	12729	2669	-1.56217898446591	-1.59635094575802	-1.52852285156069	FACT	plain
reminder	553	121	-1.51956745592559	-1.68727208073003	-1.36404050386813	FACT	plain
revelation	2549	569	-1.49957597024978	-1.57412580257286	-1.42753635200612	FACT	plain
finding	2527	566	-1.49619402918501	-1.57091291082514	-1.42400152445691	CLAIM	plain
idea	84530	19101	-1.48736581123784	-1.49990520241036	-1.47489946345632	CLAIM	plain
allegation	1691	390	-1.46692860977489	-1.55712461431066	-1.38045732181387	ACCUSATION	plain
presumption	1647	389	-1.44313138655919	-1.53314639110235	-1.3568791755304	CLAIM	plain
certainty	1582	388	-1.40543980870433	-1.49508021203132	-1.3196184672956	FACT	plain
observation	4072	1074	-1.33274428316155	-1.38522234070105	-1.28165868139236	FACT	plain
notion	19102	5428	-1.25822229963992	-1.28096202400089	-1.23576189713358	CLAIM	bold
intuition	291	84	-1.24250646832818	-1.4385678664916	-1.06590823376848	CLAIM	bold
accusation	1070	322	-1.20086238191154	-1.29621945869359	-1.11046846900921	ACCUSATION	plain
rumor	159	48	-1.19770319131234	-1.46228667211977	-0.968582238913269	CLAIM	plain
feeling	13104	4000	-1.18662316599082	-1.21277360784838	-1.16086274607589	CLAIM	plain
conjecture	237	73	-1.17760069998674	-1.38683058046781	-0.991431064901955	CLAIM	plain
sense	26125	8120	-1.16856255611139	-1.18677721792937	-1.1505406827241	CLAIM	bold
realization	1777	556	-1.16191353390407	-1.23315812491357	-1.09355805674354	FACT	bold
assurance	2485	823	-1.10507173785366	-1.16254456934606	-1.04958391304984	CLAIM	bold
conviction	3161	1053	-1.09924520008164	-1.1498191034873	-1.05022178909108	CLAIM	plain
opinion	13754	4597	-1.09592577407355	-1.11979726620284	-1.07240573721486	CLAIM	bold
myth	4250	1433	-1.08714883409029	-1.13022091448551	-1.04521799975379	CLAIM	plain
conclusion	17800	7376	-0.880966971043748	-0.898618737752556	-0.863555023614589	CLAIM	bold
suspicion	1225	544	-0.811746876122885	-0.87704021704422	-0.749887092511007	ACCUSATION	bold
view	34570	15658	-0.79200428544781	-0.803680056670235	-0.780446004645423	CLAIM	plain
suggestion	7343	3410	-0.767035187174047	-0.792020644914588	-0.742599365422514	CLAIM	bold
insinuation	53	26	-0.71219537553064	-1.0480567131529	-0.459491703986649	CLAIM	plain
assertion	2008	1075	-0.624818540249857	-0.666979135781886	-0.584549268952846	CLAIM	bold
contention	976	546	-0.580843610668187	-0.639364054576442	-0.526167622165242	CLAIM	bold
impression	15956	9072	-0.564642187057764	-0.578327700115377	-0.551184833575983	CLAIM	bold
belief	10673	7459	-0.3582958309588	-0.370972680404299	-0.345931162934303	CLAIM	bold
assumption	10063	7333	-0.316480621839533	-0.328633377450827	-0.304653511009734	CLAIM	bold
fact	174773	150962	-0.146459839533158	-0.148333832847398	-0.144603306587622	FACT	bold
